Michael Jordan|CHI|SG,SF|99|94|92|99|84|99
Kobe Bryant|LAL|SG,SF|98|95|89|95|80|97
Shaquille O'Neal|LAL|C|99|25|76|94|99|96
Magic Johnson|LAL|PG,SF|94|81|99|86|92|91
Larry Bird|BOS|SF,PF|94|98|97|88|96|78
Kareem Abdul-Jabbar|LAL|C|99|55|83|98|98|90
Wilt Chamberlain|LAL|C|99|32|83|99|99|99
Bill Russell|BOS|C|84|30|84|99|99|96
Tim Duncan|SAS|PF,C|98|61|83|99|98|83
Hakeem Olajuwon|HOU|C|99|61|77|99|97|96
Oscar Robertson|SAC|PG,SG|96|87|99|88|96|94
Jerry West|LAL|SG,PG|95|96|94|95|80|91
Elgin Baylor|LAL|SF|98|81|87|88|99|97
Julius Erving|PHI|SF|98|75|85|93|87|99
Moses Malone|PHI|C|96|39|62|90|99|90
Karl Malone|UTA|PF|98|65|80|90|97|96
John Stockton|UTA|PG|84|94|99|98|60|87
Kevin Garnett|MIN|PF,C|96|76|90|99|99|97
Dirk Nowitzki|DAL|PF,C|96|99|78|77|92|81
Dwyane Wade|MIA|SG,PG|99|71|94|97|78|99
Allen Iverson|PHI|PG,SG|98|88|91|82|53|99
Charles Barkley|PHX|PF|99|67|87|79|99|96
Scottie Pippen|CHI|SF,SG|91|80|91|99|89|97
David Robinson|SAS|C|96|58|78|99|97|99
Patrick Ewing|NYK|C|97|57|65|98|95|91
Isiah Thomas|DET|PG|94|82|99|92|65|96
Gary Payton|SEA|PG|91|82|97|99|77|92
Clyde Drexler|POR|SG,SF|96|83|89|92|88|99
Steve Nash|PHX|PG|87|99|99|59|49|87
Jason Kidd|BKN|PG|84|85|99|97|94|91
Paul Pierce|BOS|SF|96|94|85|86|87|82
Ray Allen|BOS|SG|87|99|77|81|70|90
Reggie Miller|IND|SG|84|99|73|76|59|85
Tracy McGrady|ORL|SG,SF|98|95|90|83|82|99
Vince Carter|TOR|SG,SF|97|92|83|83|78|99
Carmelo Anthony|NYK|SF,PF|98|93|72|71|88|90
Chris Paul|LAC|PG|90|95|99|97|63|91
Russell Westbrook|OKC|PG|97|67|96|86|96|99
Dwight Howard|ORL|C|95|28|57|99|99|99
Yao Ming|HOU|C|97|67|72|92|91|60
Manu Ginobili|SAS|SG|94|91|94|90|72|91
Tony Parker|SAS|PG|98|72|94|74|49|98
Pau Gasol|LAL|PF,C|96|72|91|87|95|78
Marc Gasol|MEM|C|91|82|94|98|85|63
Chris Bosh|MIA|PF,C|95|87|75|86|92|90
Dennis Rodman|CHI|PF|70|35|66|99|99|96
Ben Wallace|DET|C,PF|67|21|50|99|99|93
Dikembe Mutombo|DEN|C|81|25|44|99|99|82
Alonzo Mourning|MIA|C|94|39|57|99|92|94
Bill Walton|POR|C|92|49|94|98|98|82
George Mikan|LAL|C|97|40|67|93|99|74
Bob Pettit|ATL|PF,C|96|69|73|85|99|85
Walt Frazier|NYK|PG|94|84|95|99|84|93
Pete Maravich|UTA|SG,PG|92|96|96|65|69|91
Dominique Wilkins|ATL|SF|99|79|69|74|89|99
George Gervin|SAS|SG,SF|99|86|71|74|81|94
Kevin McHale|BOS|PF,C|99|53|63|95|89|76
Robert Parish|BOS|C|93|34|56|92|95|85
James Worthy|LAL|SF|98|64|76|88|81|98
Grant Hill|DET|SF,SG|95|79|97|90|91|97
Penny Hardaway|ORL|PG,SG|95|85|96|91|80|97
Derrick Rose|CHI|PG|98|80|91|78|61|99
Chris Webber|SAC|PF,C|97|69|94|85|97|95
Shawn Kemp|SEA|PF,C|98|44|63|91|95|99
Drazen Petrovic|BKN|SG|87|98|79|64|53|81
Arvydas Sabonis|POR|C|93|88|98|85|96|62
Bernard King|NYK|SF|99|66|71|72|85|91
Bob Cousy|BOS|PG|82|80|99|84|74|92
Sam Jones|BOS|SG|94|93|74|89|71|89
Dave Cowens|BOS|C,PF|89|60|80|95|98|93
Nate Thurmond|GSW|C|85|35|56|99|99|93
Rick Barry|GSW|SF|94|97|91|87|84|85
Elvin Hayes|WAS|PF,C|98|53|51|94|99|91
Willis Reed|NYK|C,PF|95|51|63|96|97|89
Lenny Wilkens|SEA|PG|87|79|97|83|72|89
