Nikola Jokic|DEN|C|98|88|99|79|98|75
Shai Gilgeous-Alexander|OKC|PG,SG|96|90|95|91|72|94
Giannis Antetokounmpo|MIL|PF,C|99|62|88|95|96|99
Luka Doncic|LAL|PG,SG|95|94|99|73|91|80
Stephen Curry|GSW|PG,SG|87|99|96|77|66|88
LeBron James|LAL|SF,PF|97|86|98|85|91|93
Anthony Edwards|MIN|SG,SF|96|93|85|89|77|99
Jayson Tatum|BOS|SF,PF|94|92|88|90|90|92
Victor Wembanyama|SAS|C,PF|95|85|80|99|96|91
Kevin Durant|HOU|SF,PF|96|97|86|87|83|86
Donovan Mitchell|CLE|SG,PG|94|94|87|84|67|96
Anthony Davis|DAL|PF,C|96|73|74|98|98|92
Jalen Brunson|NYK|PG|93|94|95|74|60|83
Tyrese Haliburton|IND|PG|84|92|99|79|69|87
Kawhi Leonard|LAC|SF,PF|94|94|83|98|81|84
Cade Cunningham|DET|PG,SG|91|87|96|84|84|88
Joel Embiid|PHI|C|98|88|82|94|96|79
Karl-Anthony Towns|NYK|C,PF|94|95|77|76|98|80
Ja Morant|MEM|PG|95|76|94|73|66|99
Devin Booker|PHX|SG,PG|93|95|89|77|65|88
Jalen Williams|OKC|SF,PF,SG|92|89|87|95|80|93
Jaylen Brown|BOS|SG,SF|94|86|78|92|83|96
Trae Young|ATL|PG|87|94|99|60|48|88
Kyrie Irving|DAL|PG,SG|96|96|92|73|61|91
Paolo Banchero|ORL|PF,SF|94|81|85|80|89|92
Evan Mobley|CLE|PF,C|89|78|76|98|94|91
Pascal Siakam|IND|PF,SF|92|82|83|90|87|94
James Harden|LAC|PG,SG|87|91|97|73|80|75
Jaren Jackson Jr.|MEM|PF,C|91|83|64|98|77|88
Bam Adebayo|MIA|C,PF|90|70|88|98|94|93
Chet Holmgren|OKC|C,PF|89|86|74|97|88|85
Damian Lillard|POR|PG|88|97|93|64|57|86
Domantas Sabonis|SAC|C,PF|95|76|95|76|99|78
Alperen Sengun|HOU|C|94|65|95|81|93|80
LaMelo Ball|CHA|PG,SG|87|92|97|70|82|91
Darius Garland|CLE|PG|85|93|94|70|52|89
Zion Williamson|NOP|PF|99|56|82|75|86|98
Ivica Zubac|LAC|C|91|42|69|92|97|71
Derrick White|BOS|SG,PG|82|89|84|96|68|84
Jimmy Butler|GSW|SF,PF|94|75|92|94|83|87
Amen Thompson|HOU|SG,SF,PG|92|49|84|96|89|99
Tyler Herro|MIA|SG,PG|85|94|87|68|73|86
Tyrese Maxey|PHI|PG,SG|91|94|85|73|59|99
Jamal Murray|DEN|PG,SG|89|93|90|76|66|85
Franz Wagner|ORL|SF,PF|93|79|87|88|79|90
Julius Randle|MIN|PF|92|79|87|77|94|85
Zach LaVine|SAC|SG,SF|94|95|79|68|68|96
De'Aaron Fox|SAS|PG|94|79|90|85|64|99
Austin Reaves|LAL|SG,PG|88|91|88|74|70|84
DeMar DeRozan|SAC|SF,SG|96|74|86|70|66|84
Scottie Barnes|TOR|PF,SF|89|73|91|91|91|91
OG Anunoby|NYK|SF,PF|85|87|63|98|75|89
Kristaps Porzingis|ATL|C,PF|90|89|64|94|80|75
Lauri Markkanen|UTA|PF,SF|88|94|59|78|85|84
Brandon Ingram|TOR|SF|92|87|87|75|73|84
Mikal Bridges|NYK|SF,SG|86|88|75|91|64|89
Rudy Gobert|MIN|C|85|32|53|99|99|81
Norman Powell|MIA|SG,SF|90|94|66|76|54|91
Jarrett Allen|CLE|C|93|35|64|94|96|88
Desmond Bane|ORL|SG,SF|87|95|80|83|70|82
Jalen Green|PHX|SG|91|86|72|73|67|98
Myles Turner|MIL|C|86|89|59|95|79|82
Cameron Johnson|DEN|SF,PF|79|95|69|80|71|80
Dyson Daniels|ATL|SG,PG|80|70|80|99|77|90
Coby White|CHI|PG,SG|85|91|85|73|66|89
Stephon Castle|SAS|PG,SG|88|64|86|91|73|95
Michael Porter Jr.|BKN|SF,PF|85|96|54|72|87|82
RJ Barrett|TOR|SG,SF|90|79|82|76|82|88
Josh Giddey|CHI|PG,SG|83|75|95|74|92|78
John Collins|LAC|PF,C|93|83|56|76|88|94
Aaron Gordon|DEN|PF,SF|95|80|79|92|84|96
Brandon Miller|CHA|SF,SG|86|92|76|82|73|87
Deni Avdija|POR|SF,PF|86|83|86|89|88|89
Naz Reid|MIN|PF,C|88|91|66|80|84|83
Nikola Vucevic|CHI|C|92|86|82|67|94|63
Jalen Duren|DET|C|94|31|67|86|97|96
Jalen Suggs|ORL|SG,PG|83|84|79|97|71|94
Trey Murphy III|NOP|SF,SG|87|96|67|86|72|96
Cooper Flagg|DAL|SF,PF|88|81|86|94|87|93
Isaiah Hartenstein|OKC|C|84|39|84|91|96|77
Jaden McDaniels|MIN|SF,PF|83|81|57|98|73|89
Toumani Camara|POR|SF,PF|79|79|61|96|83|88
Walker Kessler|UTA|C|86|29|51|96|95|81
Luguentz Dort|OKC|SG,SF|74|87|55|99|61|90
Herbert Jones|NOP|SF,PF|80|81|70|99|72|90
Jrue Holiday|POR|PG,SG|85|86|88|97|72|82
